Cookie Consent Category Translation Name,Cookie Consent Category Name,Language,Name,Description,Additional Information
1. Required fr,1. Required,fr,1. Obligatoire,Ce sont des témoins obligatoires.,Ces témoins sont nécessaires aux activités de base sur le site Web.
2. Preferences fr,2. Preferences,fr,2. Préférences,Ce sont des témoins de préférences.,Ces témoins sont nécessaires pour conserver les préférences de l'utilisateur.
3. Statistics fr,3. Statistics,fr,3. Statistiques,Ce sont des témoins de statistiques.,Ces témoins sont nécessaires à des fins statistiques.
